# Changed things around to work on a energy/primary/secondary cost system rather than just food since new space fauna
# us other resources like minerals/alloys. Energy cost is typically 33% of based primary cost the growth amount is later multiplied
# with the cost modifiers to get something around vanilla cost for that amount of ships. Hopefully easier to maintain now. - PIECAT

################################################
################### LEVIATHANS #################
################################################
# Ether Drake
@grow_ether_drake_energy_cost	        	= 7500
@grow_toxic_god_secondary_cost 		        = 2500
@grow_toxic_god_growth_time 	        	= 5400 # Base: 2700, multiplied by 2 for primary vat stuff
@grow_toxic_god_growth_count	        	= 1 #Toxic God This one should ALWAYS be one otherwise it breaks all my sanity checks
@giga_vat_toxic_god_primary_resource        = food
@giga_vat_toxic_god_secondary_resource      = exotic_gases

################################################
############ NORMAL VAT SPAWN ##################
################################################
# Swarm Queen
@grow_swarm_queen_energy_cost	        	= 2877
@grow_swarm_queen_primary_cost		        = 8640
@grow_swarm_queen_secondary_cost            = 0
@grow_swarm_queen_growth_time 	        	= 480
@grow_swarm_queen_growth_count	        	= 1
@giga_vat_swarm_queen_primary_resource      = food
@giga_vat_swarm_queen_secondary_resource    = none

# Brood Mother
@grow_brood_mother_energy_cost		        = 1885
@grow_brood_mother_primary_cost		        = 5660
@grow_brood_mother_secondary_cost           = 0
@grow_brood_mother_growth_time 	            = 360
@grow_brood_mother_growth_count	            = 3
@giga_vat_brood_mother_primary_resource     = food
@giga_vat_brood_mother_secondary_resource   = none

# Warrior
@grow_warrior_energy_cost	        	    = 844
@grow_warrior_primary_cost		            = 2535
@grow_warrior_secondary_cost                = 0
@grow_warrior_growth_time 	        	    = 240
@grow_warrior_growth_count	        	    = 5
@giga_vat_warrior_primary_resource          = food
@giga_vat_warrior_secondary_resource        = none

# Swarmling
@grow_swarmling_energy_cost		            = 480
@grow_swarmling_primary_cost		        = 1440
@grow_swarmling_secondary_cost              = 0
@grow_swarmling_growth_time 	            = 180
@grow_swarmling_growth_count	            = 10
@giga_vat_swarmling_primary_resource        = food
@giga_vat_swarmling_secondary_resource      = none

# Tiyanki
@grow_tiyanki_energy_cost		            = 1885
@grow_tiyanki_primary_cost			        = 5660 # food
@grow_tiyanki_secondary_cost                = 0
@grow_tiyanki_growth_time 		            = 480
@grow_tiyanki_growth_count		            = 5
@giga_vat_tiyanki_primary_resource          = food
@giga_vat_tiyanki_secondary_resource        = none

# Crystal Entities
@grow_crystal_energy_cost		            = 430
@grow_crystal_primary_cost			        = 1290 # minerals
@grow_crystal_secondary_cost                = 32
@grow_crystal_growth_time 		            = 240
@grow_crystal_growth_count		            = 5
@giga_vat_crystal_primary_resource          = minerals
@giga_vat_crystal_secondary_resource        = rare_crystals

# Amoeba
@grow_amoeba_energy_cost	                = 844
@grow_amoeba_primary_cost		            = 2535
@grow_amoeba_secondary_cost		            = 0
@grow_amoeba_growth_time 	                = 240
@grow_amoeba_growth_count	                = 5
@giga_vat_amoeba_primary_resource           = food
@giga_vat_amoeba_secondary_resource         = none

# Voidworms
@grow_voidworm_energy_cost		            = 1440
@grow_voidworm_primary_cost			        = 4320 # vanilla base cost
@grow_voidworm_secondary_cost               = 4320
@grow_voidworm_growth_time 		            = 360
@grow_voidworm_growth_count		            = 3
@giga_vat_voidworm_primary_resource         = food
@giga_vat_voidworm_secondary_resource       = minerals

# Cutholoids Entities
@grow_cutholoid_energy_cost		            = 1670
@grow_cutholoid_primary_cost			    = 5010 # vanilla base cost
@grow_cutholoid_secondary_cost              = 0
@grow_cutholoid_growth_time 		        = 480
@grow_cutholoid_growth_count		        = 3
@giga_vat_cutholoid_primary_resource        = minerals
@giga_vat_cutholoid_secondary_resource      = none
